name,is_master,is_candidat,year_start_in_hse,interests,languages,n_of_publications,unique_courses,link
Акоз Кемаль Киванч,1,1,2018,"Прикладная микроэкономическая теория, политическая экономика, отраслевые рынки","английский, турецкий, пекарский",7,"Contemporary Economics, International Economics, Исследовательский проектный семинар (НИС), Научно-исследовательский семинар (для исследовательского потока), Политическая экономика, Рolitical Economy, Экономика: проблемы, методы, решения-2",https://www.hse.ru/mirror/org/persons/redir/223725168?pl=
Арбатли Эким,1,1,2012,"демократизация, ресурсный национализм, гражданско-военные отношения, энергетическая политика, классификации политических режимов, гибридные режимы","турецкий, английский, французский, русский",15,"Comparative Politics, Current Trends in Political Science, Democracy and Democratization, Introduction to Political Science, Modern Political Science",https://www.hse.ru/mirror/org/persons/redir/61713365?pl=
Баженов Григорий Александрович,0,1,2024,"всеобщая экономическая история, макроэкономика, монетарная экономика, философия и методология экономической науки, методология экономической науки, экономическая теория, теория экономического роста, экономическая история России",английский,0,"Макроэкономика, Макроэкономика (продвинутый уровень), Макроэкономика 2, Микроэкономика, Экономика, Экономическая теория",https://www.hse.ru/mirror/org/persons/redir/209638517?pl=
Байссвенгер Мартин Эрвин,1,1,2013,"русская история, европейская история, интеллектуальная история, история русской эмиграции, история европейской интеграции","английский, немецкий, русский, чешский, французский, каменский",36,"Political Projects in the XX Сentury, Political projects of the XX century, Научно-исследовательский семинар, Новейшая мировая историография, ФРГ, ГДР, Австрия, Швейцария и Люксембург как варианты немецкого пути в XX веке",https://www.hse.ru/mirror/org/persons/redir/93759602?pl=
Баландин Юлиан Андреевич,1,0,2016,"российский политический режим, антикоррупционная политика, Региональная политика России, Политические элиты, вето-игроки",английский,4,"Политическая экспертиза, Политический менеджмент, Политическое управление, Современная российская политика, Современный GR:как все работает на практике",https://www.hse.ru/mirror/org/persons/redir/137284738?pl=
Баранова Татьяна Александровна,0,0,2018,"фонетика, фонетика и интонация английского языка, психология, Коммуникативная методика обучения иностранному языку., преподавание иностранных языков и культур, мотивация, корпоративная культура, ценностный подход, независимый контроль в языковом образовании, английский для специальных целей, методика преподавания","английский, французский",2,"English Language, English for General Academic Purposes. Advanced Course - 3, English for General Academic Purposes. Upper-Intermediate Course – 3, English for General Communication Purposes. Advanced Course - 1, English for General Communication Purposes. Advanced Course - 2, English for General Communication Purposes. Intermediate Course - 2, English for General Communication Purposes. Intermediate Course – 1, English for General Communication Purposes. Upper-Intermediate Course - 1, English for General Communication Purposes. Upper-Intermediate Course - 2, English for Specific Purposes. Art and Design - 3, International English Examinations Practice, Английский для начинающих, Английский язык",https://www.hse.ru/mirror/org/persons/redir/224906215?pl=
Борисенко Максим Сергеевич,0,0,2020,"федерализм, гражданское образование, многоуровневое управление, государственное управление, Европейский союз","английский, немецкий",1,"Comparative Politics, Contemporary Russian Politics, Research Seminar, Research Seminar: Digital Literacy, Research Seminar: Research Design",https://www.hse.ru/mirror/org/persons/redir/160957135?pl=
Бурова Маргарита Борисовна,1,0,2012,"нейронауки, анализ данных в социальных науках, статистический анализ данных, машинное обучение, высшее образование","русский, английский",2,"Computer Vision, Excel Skills for Business: Essentials, Excel for Data Analysis, Excel для анализа данных, Mentor's Seminar, Python Advanced, Python Basic, Python для извлечения и обработки данных, SQL, Введение в Data Science, Искусственный интеллект и большие данные, Культура работы с данными, Математика, Математические методы в психологии, Математическое введение в экономику, Научно-исследовательский семинар, Основы анализа данных в международных отношениях, Основы программирования на Python, Программирование на языке Python, Продвинутые методы анализа и визуализации данных в Python, Технологии анализа больших данных, Цифровая грамотность",https://www.hse.ru/mirror/org/persons/redir/46695224?pl=
Вольский Владимир Иванович,0,1,2008,"Теория индивидуального выбора, теория коллективного выбора, бинарные отношения",английский,10,"Decision systems, Инструментальные методы цифровой экономики, Количественные методы принятия управленческих решений, Коллективный выбор: теория и эмпирические исследования, Научно-исследовательский семинар ""Принятие решений - прикладные задачи 2"", Научно-исследовательский семинар ""Принятие решений - прикладные задачи"", Научно-исследовательский семинар ""Современные модели и методы принятия решений"" (4 курс), Принятие политико-управленческих решений, Продвинутые количественные методы принятия управленческих решений, Современные методы принятия решений и анализа данных, Специальные главы теории принятия решений, Теория и методы принятия решений о развитии экономики и общества, Теория принятия решений",https://www.hse.ru/mirror/org/persons/redir/5336818?pl=
Гайворонский Юрий Олегович,1,1,2011,электоральные исследования,английский,17,"Continuity and Change in Russian Politics, Current Trends in Political Science, Parties and Elections in Russian Regions, Political Science, Regional Dimension of Russian Politics, Regions of Russia and the World in Comparative Perspective, Научно-исследовательский семинар, Научно-исследовательский семинар: презентации проектов курсовых работ, Основы российской государственности, Политическая наука, Политическая регионалистика, Российские политические процессы на субнациональном уровне, Семинар наставника, Современная российская политика",https://www.hse.ru/mirror/org/persons/redir/25907562?pl=
Гулевич Ольга Александровна,0,1,2005,"политическая психология, психология межгрупповых отношений, гендерная психология, психология массовых коммуникаций","русский, английский, испанский, португальский, немецкий",95,"Актуальные проблемы современной политики, Политическая психология, Психология интернет- взаимодействия, Психология интернет-коммуникации, Психология коммуникации, Психология массовой коммуникации, Психология массовых коммуникаций, Психология межгрупповых отношений",https://www.hse.ru/mirror/org/persons/redir/66960?pl=
Зарипов Никита Андреевич,0,0,2022,"политические институты и процессы в России, законотворческая деятельность, парламентская процедура, сети политики, постсоветское пространство, политические партии, политические режимы",английский,5,"Научно-исследовательский семинар, Научно-исследовательский семинар: Цифровая грамотность",https://www.hse.ru/mirror/org/persons/redir/225536027?pl=
Иванов Евгений Александрович,1,0,2012,"постсоветское пространство, евразийское пространство, Центральная Азия, Средняя Азия, отношения Россия - Центральная Азия, кавказоведение, Северный Кавказ","русский, английский, белорусский",33,"Comparative Politics, Research Seminar: Research Design, Transformations of Post-Soviet Space: Politics, Societies, Economies, Научно-исследовательский семинар, Политическое управление, Политология, Современная российская политика",https://www.hse.ru/mirror/org/persons/redir/46709161?pl=
Игнатьев Глеб Игоревич,0,0,2023,политические науки,"английский, русский, португальский",0,"Основы российской государственности, Политология, Современная политика",https://www.hse.ru/mirror/org/persons/redir/225538389?pl=
